strategy,schedule,starts,avg_final,median_final,avg_excess_vs_all_in,win_rate_vs_all_in,worst_excess_vs_all_in,best_excess_vs_all_in,avg_max_drawdown,never_full_rate,avg_full_days,max_full_days,1y_avg,1y_median,3y_avg,3y_median,5y_avg,5y_median,10y_avg,10y_median
init_100_full_20,0%->100%,10,8.875296240724266,8.583199799596791,4.4408920985006264e-17,0.3,-2.220446049250313e-16,2.220446049250313e-16,-0.3382763580560784,0.0,0,0,-0.011346086004717681,-0.03573679884827363,0.1101525477376116,0.10547400352226433,0.09665775923404077,0.095834919996724,0.15867820535664456,0.15670489424937317
init_80_full_20,0%->80%; -5%->85%; -10%->90%; -15%->95%; -20%->100%,10,8.93955975496896,8.65424039223913,0.007507800357111594,0.9,-0.004039035223548759,0.012866625241225504,-0.33827635805607836,0.0,144,292,-0.00539494205960217,-0.02686249204207164,0.11289666959646345,0.1085155526484215,0.09829978403142392,0.09603247505831702,0.15954426726525903,0.15759122992307195
init_80_full_25,0%->80%; -5%->84%; -10%->88%; -15%->92%; -20%->96%; -25%->100%,10,8.980402871413178,8.705411950648918,0.012236435852952688,0.9,-0.002952913995972528,0.019302002745763325,-0.33827635805607836,0.0,147,295,-0.0022018998115647336,-0.021023625022420667,0.11462104354643574,0.11069610494318793,0.09932672450614484,0.09635217248183559,0.16008637145703455,0.1580694798850416
init_80_full_30,0%->80%; -5%->83%; -10%->87%; -15%->90%; -20%->93%; -25%->97%; -30%->100%,10,8.821009550444835,8.55290425765762,-0.005720542704787934,0.2,-0.020620516891286078,0.0012141441381166018,-0.33451788074903355,0.0,1885,2033,-0.003347727976932946,-0.022284594031786953,0.11057875062252724,0.10665414074488122,0.09620585987239239,0.09357488419171134,0.15801169919103933,0.15598215267589188
init_80_full_35,0%->80%; -5%->83%; -10%->86%; -15%->89%; -20%->91%; -25%->94%; -30%->97%; -35%->100%,10,8.603756327892631,8.34056934080331,-0.030242947743142068,0.0,-0.043430430927101416,-0.024104694030608775,-0.33147989271375816,1.0,,,-0.004166176666481747,-0.02318528618133442,0.10767323354097344,0.10374884419331443,0.09395418931630486,0.09157365188230848,0.15552172782227497,0.1535138369913157
init_80_full_40,0%->80%; -5%->82%; -10%->85%; -15%->88%; -20%->90%; -25%->92%; -30%->95%; -35%->98%; -40%->100%,10,8.44081641097848,8.181318153162573,-0.04863475152190755,0.0,-0.06053786645396275,-0.04309382265715267,-0.32913137952969246,1.0,,,-0.004780013183643394,-0.023860805293495158,0.10548402371142529,0.10155979209486332,0.09225288960857822,0.0900630148805115,0.15362197062642433,0.151630879961972
init_80_full_50,0%->80%; -5%->82%; -10%->84%; -15%->86%; -20%->88%; -25%->90%; -30%->92%; -35%->94%; -40%->96%; -45%->98%; -50%->100%,10,8.212700527298663,7.958366490465544,-0.07438327681217946,0.0,-0.08448827619156907,-0.06967860273431425,-0.3257375773727419,1.0,,,-0.00563938430766966,-0.024806532050520025,0.1024044455837515,0.09848042395194412,0.0898526691635747,0.0879339169219745,0.15091397539341456,0.14894726035737693
init_60_full_20,0%->60%; -5%->70%; -10%->80%; -15%->90%; -20%->100%,10,9.003823269213655,8.725280984881469,0.015015600714223221,0.9,-0.00807807044709763,0.025733250482450787,-0.3382763580560784,0.0,144,292,0.0005562018855135408,-0.01798818523586937,0.11562239024148428,0.11154047339504969,0.0999286021146563,0.0962255915258533,0.1604024943196299,0.1584711525071788
init_60_full_25,0%->60%; -5%->68%; -10%->76%; -15%->84%; -20%->92%; -25%->100%,10,9.085509502102086,8.827624101701042,0.024472871705905074,0.9,-0.005905827991945611,0.03860400549152665,-0.3382763580560784,0.0,147,295,0.006942286381588092,-0.00631045119656759,0.11904456307224347,0.11586952409765927,0.1019634308514898,0.097328685947216,0.1614754021827232,0.15941834337444116
init_60_full_30,0%->60%; -5%->67%; -10%->73%; -15%->80%; -20%->87%; -25%->93%; -30%->100%,10,8.7667228601654,8.522608715718448,-0.011441085409576213,0.2,-0.04124103378257271,0.0024282882762332036,-0.3306741590335211,0.0,1885,2033,0.00465063005085159,-0.00883238921530044,0.11099441566148402,0.10783171651472467,0.09574787675574511,0.09141193874236686,0.15733746994481668,0.1552535980302373
