date,open,high,low,close,source,hwm,hwm_date,drawdown
2000-01-04,8756.55,8756.55,8756.55,8756.55,TWSE FMTQIK,8756.55,2000-01-04,0.0
2000-01-05,8849.87,8849.87,8849.87,8849.87,TWSE FMTQIK,8849.87,2000-01-05,0.0
2000-01-06,8922.03,8922.03,8922.03,8922.03,TWSE FMTQIK,8922.03,2000-01-06,0.0
2000-01-07,8845.47,8845.47,8845.47,8845.47,TWSE FMTQIK,8922.03,2000-01-06,-0.008581006788813905
2000-01-10,9102.6,9102.6,9102.6,9102.6,TWSE FMTQIK,9102.6,2000-01-10,0.0
2000-01-11,8927.03,8927.03,8927.03,8927.03,TWSE FMTQIK,9102.6,2000-01-10,-0.019287895766044838
2000-01-12,9144.65,9144.65,9144.65,9144.65,TWSE FMTQIK,9144.65,2000-01-12,0.0
2000-01-13,9107.19,9107.19,9107.19,9107.19,TWSE FMTQIK,9144.65,2000-01-12,-0.004096384224655858
2000-01-14,9023.24,9023.24,9023.24,9023.24,TWSE FMTQIK,9144.65,2000-01-12,-0.013276615288720706
2000-01-15,9191.37,9191.37,9191.37,9191.37,TWSE FMTQIK,9191.37,2000-01-15,0.0
2000-01-17,9315.43,9315.43,9315.43,9315.43,TWSE FMTQIK,9315.43,2000-01-17,0.0
2000-01-18,9250.19,9250.19,9250.19,9250.19,TWSE FMTQIK,9315.43,2000-01-17,-0.007003434087315297
2000-01-19,9151.44,9151.44,9151.44,9151.44,TWSE FMTQIK,9315.43,2000-01-17,-0.017604125628124523
2000-01-20,9136.95,9136.95,9136.95,9136.95,TWSE FMTQIK,9315.43,2000-01-17,-0.019159609379277076
2000-01-21,9255.94,9255.94,9255.94,9255.94,TWSE FMTQIK,9315.43,2000-01-17,-0.006386178630508721
2000-01-24,9387.07,9387.07,9387.07,9387.07,TWSE FMTQIK,9387.07,2000-01-24,0.0
2000-01-25,9372.37,9372.37,9372.37,9372.37,TWSE FMTQIK,9387.07,2000-01-24,-0.0015659838479950006
2000-01-26,9581.96,9581.96,9581.96,9581.96,TWSE FMTQIK,9581.96,2000-01-26,0.0
2000-01-27,9628.98,9628.98,9628.98,9628.98,TWSE FMTQIK,9628.98,2000-01-27,0.0
2000-01-28,9696.91,9696.91,9696.91,9696.91,TWSE FMTQIK,9696.91,2000-01-28,0.0
2000-01-29,9636.38,9636.38,9636.38,9636.38,TWSE FMTQIK,9696.91,2000-01-28,-0.006242194678511059
2000-01-31,9744.89,9744.89,9744.89,9744.89,TWSE FMTQIK,9744.89,2000-01-31,0.0
2000-02-01,9856.39,9856.39,9856.39,9856.39,TWSE FMTQIK,9856.39,2000-02-01,0.0
2000-02-09,10008.88,10008.88,10008.88,10008.88,TWSE FMTQIK,10008.88,2000-02-09,0.0
2000-02-10,10057.67,10057.67,10057.67,10057.67,TWSE FMTQIK,10057.67,2000-02-10,0.0
2000-02-11,10128.67,10128.67,10128.67,10128.67,TWSE FMTQIK,10128.67,2000-02-11,0.0
2000-02-14,9971.45,9971.45,9971.45,9971.45,TWSE FMTQIK,10128.67,2000-02-11,-0.015522274889003151
2000-02-15,9957.74,9957.74,9957.74,9957.74,TWSE FMTQIK,10128.67,2000-02-11,-0.01687585833085692
2000-02-16,10064.49,10064.49,10064.49,10064.49,TWSE FMTQIK,10128.67,2000-02-11,-0.00633646865778037
2000-02-17,10202.2,10202.2,10202.2,10202.2,TWSE FMTQIK,10202.2,2000-02-17,0.0
2000-02-18,10096.38,10096.38,10096.38,10096.38,TWSE FMTQIK,10202.2,2000-02-17,-0.010372272647076297
2000-02-19,10161.05,10161.05,10161.05,10161.05,TWSE FMTQIK,10202.2,2000-02-17,-0.004033443767030742
2000-02-21,9912.67,9912.67,9912.67,9912.67,TWSE FMTQIK,10202.2,2000-02-17,-0.028379173119523315
2000-02-22,9731.93,9731.93,9731.93,9731.93,TWSE FMTQIK,10202.2,2000-02-17,-0.046094959910607525
2000-02-23,9642.26,9642.26,9642.26,9642.26,TWSE FMTQIK,10202.2,2000-02-17,-0.05488424065397668
2000-02-24,9599.17,9599.17,9599.17,9599.17,TWSE FMTQIK,10202.2,2000-02-17,-0.059107839485601166
2000-02-25,9432.49,9432.49,9432.49,9432.49,TWSE FMTQIK,10202.2,2000-02-17,-0.07544549214875229
2000-02-29,9435.94,9435.94,9435.94,9435.94,TWSE FMTQIK,10202.2,2000-02-17,-0.07510732979161361
2000-03-01,9689.1,9689.1,9689.1,9689.1,TWSE FMTQIK,10202.2,2000-02-17,-0.05029307404285355
2000-03-02,9543.82,9543.82,9543.82,9543.82,TWSE FMTQIK,10202.2,2000-02-17,-0.06453313991099974
2000-03-03,9588.03,9588.03,9588.03,9588.03,TWSE FMTQIK,10202.2,2000-02-17,-0.060199760835898175
2000-03-04,9517.97,9517.97,9517.97,9517.97,TWSE FMTQIK,10202.2,2000-02-17,-0.06706690713767627
2000-03-06,9367.91,9367.91,9367.91,9367.91,TWSE FMTQIK,10202.2,2000-02-17,-0.08177549940208984
2000-03-07,9380.07,9380.07,9380.07,9380.07,TWSE FMTQIK,10202.2,2000-02-17,-0.08058359961576922
2000-03-08,9389.49,9389.49,9389.49,9389.49,TWSE FMTQIK,10202.2,2000-02-17,-0.07966026935366888
2000-03-09,9587.27,9587.27,9587.27,9587.27,TWSE FMTQIK,10202.2,2000-02-17,-0.06027425457254321
2000-03-10,9429.6,9429.6,9429.6,9429.6,TWSE FMTQIK,10202.2,2000-02-17,-0.07572876438415244
2000-03-13,8811.95,8811.95,8811.95,8811.95,TWSE FMTQIK,10202.2,2000-02-17,-0.13626962811942522
2000-03-14,8835.58,8835.58,8835.58,8835.58,TWSE FMTQIK,10202.2,2000-02-17,-0.13395346101821182
2000-03-15,8640.03,8640.03,8640.03,8640.03,TWSE FMTQIK,10202.2,2000-02-17,-0.1531208954931289
2000-03-16,8682.76,8682.76,8682.76,8682.76,TWSE FMTQIK,10202.2,2000-02-17,-0.14893258316833624
2000-03-17,8763.27,8763.27,8763.27,8763.27,TWSE FMTQIK,10202.2,2000-02-17,-0.14104114798768896
2000-03-20,8536.05,8536.05,8536.05,8536.05,TWSE FMTQIK,10202.2,2000-02-17,-0.1633128148830646
2000-03-21,9004.48,9004.48,9004.48,9004.48,TWSE FMTQIK,10202.2,2000-02-17,-0.11739820822959768
2000-03-22,9069.39,9069.39,9069.39,9069.39,TWSE FMTQIK,10202.2,2000-02-17,-0.11103585501166424
2000-03-23,9533.87,9533.87,9533.87,9533.87,TWSE FMTQIK,10202.2,2000-02-17,-0.06550841975260235
2000-03-24,9482.64,9482.64,9482.64,9482.64,TWSE FMTQIK,10202.2,2000-02-17,-0.07052988571092522
2000-03-27,9807.57,9807.57,9807.57,9807.57,TWSE FMTQIK,10202.2,2000-02-17,-0.03868087275293575
2000-03-28,9856.6,9856.6,9856.6,9856.6,TWSE FMTQIK,10202.2,2000-02-17,-0.03387504655858542
2000-03-29,9805.69,9805.69,9805.69,9805.69,TWSE FMTQIK,10202.2,2000-02-17,-0.03886514673305763
2000-03-30,9931.94,9931.94,9931.94,9931.94,TWSE FMTQIK,10202.2,2000-02-17,-0.026490364823273382
2000-03-31,9854.95,9854.95,9854.95,9854.95,TWSE FMTQIK,10202.2,2000-02-17,-0.03403677638156477
