date,open,high,low,close,source
2000-01-04,8756.55,8756.55,8756.55,8756.55,TWSE FMTQIK
2000-01-05,8849.87,8849.87,8849.87,8849.87,TWSE FMTQIK
2000-01-06,8922.03,8922.03,8922.03,8922.03,TWSE FMTQIK
2000-01-07,8845.47,8845.47,8845.47,8845.47,TWSE FMTQIK
2000-01-10,9102.6,9102.6,9102.6,9102.6,TWSE FMTQIK
2000-01-11,8927.03,8927.03,8927.03,8927.03,TWSE FMTQIK
2000-01-12,9144.65,9144.65,9144.65,9144.65,TWSE FMTQIK
2000-01-13,9107.19,9107.19,9107.19,9107.19,TWSE FMTQIK
2000-01-14,9023.24,9023.24,9023.24,9023.24,TWSE FMTQIK
2000-01-15,9191.37,9191.37,9191.37,9191.37,TWSE FMTQIK
2000-01-17,9315.43,9315.43,9315.43,9315.43,TWSE FMTQIK
2000-01-18,9250.19,9250.19,9250.19,9250.19,TWSE FMTQIK
2000-01-19,9151.44,9151.44,9151.44,9151.44,TWSE FMTQIK
2000-01-20,9136.95,9136.95,9136.95,9136.95,TWSE FMTQIK
2000-01-21,9255.94,9255.94,9255.94,9255.94,TWSE FMTQIK
2000-01-24,9387.07,9387.07,9387.07,9387.07,TWSE FMTQIK
2000-01-25,9372.37,9372.37,9372.37,9372.37,TWSE FMTQIK
2000-01-26,9581.96,9581.96,9581.96,9581.96,TWSE FMTQIK
2000-01-27,9628.98,9628.98,9628.98,9628.98,TWSE FMTQIK
2000-01-28,9696.91,9696.91,9696.91,9696.91,TWSE FMTQIK
2000-01-29,9636.38,9636.38,9636.38,9636.38,TWSE FMTQIK
2000-01-31,9744.89,9744.89,9744.89,9744.89,TWSE FMTQIK
2000-02-01,9856.39,9856.39,9856.39,9856.39,TWSE FMTQIK
2000-02-09,10008.88,10008.88,10008.88,10008.88,TWSE FMTQIK
2000-02-10,10057.67,10057.67,10057.67,10057.67,TWSE FMTQIK
2000-02-11,10128.67,10128.67,10128.67,10128.67,TWSE FMTQIK
2000-02-14,9971.45,9971.45,9971.45,9971.45,TWSE FMTQIK
2000-02-15,9957.74,9957.74,9957.74,9957.74,TWSE FMTQIK
2000-02-16,10064.49,10064.49,10064.49,10064.49,TWSE FMTQIK
2000-02-17,10202.2,10202.2,10202.2,10202.2,TWSE FMTQIK
2000-02-18,10096.38,10096.38,10096.38,10096.38,TWSE FMTQIK
2000-02-19,10161.05,10161.05,10161.05,10161.05,TWSE FMTQIK
2000-02-21,9912.67,9912.67,9912.67,9912.67,TWSE FMTQIK
2000-02-22,9731.93,9731.93,9731.93,9731.93,TWSE FMTQIK
2000-02-23,9642.26,9642.26,9642.26,9642.26,TWSE FMTQIK
2000-02-24,9599.17,9599.17,9599.17,9599.17,TWSE FMTQIK
2000-02-25,9432.49,9432.49,9432.49,9432.49,TWSE FMTQIK
2000-02-29,9435.94,9435.94,9435.94,9435.94,TWSE FMTQIK
2000-03-01,9689.1,9689.1,9689.1,9689.1,TWSE FMTQIK
2000-03-02,9543.82,9543.82,9543.82,9543.82,TWSE FMTQIK
2000-03-03,9588.03,9588.03,9588.03,9588.03,TWSE FMTQIK
2000-03-04,9517.97,9517.97,9517.97,9517.97,TWSE FMTQIK
2000-03-06,9367.91,9367.91,9367.91,9367.91,TWSE FMTQIK
